DEVICE KERNEL DURATION [ns],NUM_TILES,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY
83267,256,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41924,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
10959,32,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
83273,256,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41918,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
10953,32,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
83255,256,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41934,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
10969,32,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
83273,256,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41924,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
10955,32,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
83268,256,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41927,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
10974,32,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
83273,256,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41930,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
10953,32,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
83281,256,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41914,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
10969,32,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41999,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21369,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
42014,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21312,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
41998,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21299,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
42012,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21300,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
42013,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21302,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
42002,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21307,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
42006,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21314,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
42011,128,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
21304,64,BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED
