INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY,COEFFICIENT_A,COEFFICIENT_B
BFLOAT16,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,323.49964199256715,527.9602782229273
BFLOAT8_B,L1_HEIGHT_SHARDED,L1_HEIGHT_SHARDED,315.02715894654375,520.6967461754449
BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,323.4323684180618,527.7405594008316
BFLOAT8_B,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,314.9917099647784,527.2737917734945
BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,323.36344011513245,575.9202334630434
BFLOAT8_B,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,314.90958055245994,570.6499094833744
